boundary,phi_lead_block,phi_tail_block,v_lead,v_tail,interaction,horizon
1|2.3.4.5,-2.2185465587499847e-07,-1.0224551293624116e-06,-1.2040685901137157e-07,-9.210073324987847e-07,-2.028955937272538e-07,1
1.2|3.4.5,-6.772337211246823e-07,-5.670760641127278e-07,-5.251057802521512e-07,-4.1494812324019675e-07,-3.042558817450622e-07,1
1.2.3|4.5,-8.363598732173433e-07,-4.079499120200668e-07,-8.051750534296409e-07,-3.7676509223236437e-07,-6.236963957540484e-08,1
1.2.3.4|5,-6.437025125586649e-07,-6.006072726787452e-07,-6.723250270815394e-07,-6.292297872016197e-07,5.724502904574892e-08,1
1|2.3.4.5,-1.8461027119072394e-06,-7.44063165695173e-06,-1.8093838938472353e-06,-7.4039128388917255e-06,-7.343763612000821e-08,5
1.2|3.4.5,-3.5522751716400135e-06,-5.7344591972189555e-06,-3.5364100767522333e-06,-5.718594102331175e-06,-3.1730189775560497e-08,5
1.2.3|4.5,-5.754701986938264e-06,-3.532032381920705e-06,-5.755994939632501e-06,-3.533325334614942e-06,2.5859053884736555e-09,5
1.2.3.4|5,-7.750545928125784e-06,-1.5361884407331852e-06,-7.762965364502446e-06,-1.548607877109847e-06,2.483887275332372e-08,5
1|2.3.4.5,-8.554311698461773e-06,-1.5615581032385906e-05,-8.729260696610855e-06,-1.5790530030534988e-05,3.498979962981638e-07,21
1.2|3.4.5,-1.5226055684765955e-05,-8.943837046081725e-06,-1.5377658509587583e-05,-9.095439870903353e-06,3.032056496432567e-07,21
1.2.3|4.5,-1.7116031097207888e-05,-7.0538616336397915e-06,-1.7265121085421886e-05,-7.20295162185379e-06,2.981799764279966e-07,21
1.2.3.4|5,-2.2924674216102774e-05,-1.2452185147449057e-06,-2.2949180620538898e-05,-1.2697249191810298e-06,4.9012808872248015e-08,21
1|2.3.4.5,-1.1530941804506825e-05,-3.370006131201732e-05,-1.0622805488927356e-05,-3.279192499643785e-05,-1.8162726311589383e-06,63
1.2|3.4.5,-2.2308512326915664e-05,-2.292249078960848e-05,-2.1607953745395037e-05,-2.2221932208087852e-05,-1.4011171630412544e-06,63
1.2.3|4.5,-2.0831823779324937e-05,-2.4399179337199206e-05,-2.081610380899601e-05,-2.438345936687028e-05,-3.1439940657851384e-08,63
1.2.3.4|5,-3.928860631233558e-05,-5.9423968041885655e-06,-4.001939971751828e-05,-6.673190209371266e-06,1.4615868103654006e-06,63
